iteration,x,y,value,error,value_error,diversity
1,-2.7935162327595524,-0.013475527977396595,-0.715038110561803,inf,0.9874618894381969,1.5198740074773158
2,-2.7935162327595524,-0.013475527977396595,-0.715038110561803,inf,0.9874618894381969,1.5736185449264717
3,0.030938751672646703,-0.6939042281896413,-1.3359179472752376,inf,0.3665820527247623,1.4363221602138414
4,0.030938751672646703,-0.6939042281896413,-1.3359179472752376,inf,0.3665820527247623,1.3824128478729603
5,0.030938751672646703,-0.6939042281896413,-1.3359179472752376,inf,0.3665820527247623,1.3690320211434752
6,0.030938751672646703,-0.6939042281896413,-1.3359179472752376,inf,0.3665820527247623,1.3679950104080083
7,0.8639761544311177,0.19015881946632973,-1.594148807559083,inf,0.10835119244091684,1.2582426381385559
8,-1.1430196443480698,-0.013475527977396595,-1.6889566462695182,inf,0.013543353730481655,1.2250683461337424
9,-1.1430196443480698,-0.013475527977396595,-1.6889566462695182,inf,0.013543353730481655,1.1776860355516026
10,-1.1430196443480698,-0.013475527977396595,-1.6889566462695182,inf,0.013543353730481655,1.1400863985210883
11,-1.1430196443480698,-0.013475527977396595,-1.6889566462695182,inf,0.013543353730481655,1.114366307699274
12,-1.1430196443480698,-0.013475527977396595,-1.6889566462695182,inf,0.013543353730481655,1.067874798254596
13,-1.1430196443480698,-0.013475527977396595,-1.6889566462695182,inf,0.013543353730481655,1.078432466842643
14,-1.1430196443480698,-0.013475527977396595,-1.6889566462695182,inf,0.013543353730481655,0.882006685180086
15,-0.033363525481433065,1.090351013717422,-1.7020696007610212,inf,0.0004303992389786959,0.849919008232088
16,-0.033363525481433065,1.090351013717422,-1.7020696007610212,inf,0.0004303992389786959,0.8313980675827704
17,-0.033363525481433065,1.090351013717422,-1.7020696007610212,inf,0.0004303992389786959,0.7012877039981367
18,-0.033363525481433065,1.090351013717422,-1.7020696007610212,inf,0.0004303992389786959,0.6606337348893379
19,-0.033363525481433065,1.090351013717422,-1.7020696007610212,inf,0.0004303992389786959,0.5454920047047022
20,-0.033363525481433065,1.090351013717422,-1.7020696007610212,inf,0.0004303992389786959,0.5326743103511786
