iteration,x,y,z,value,error,value_error,diversity
1,-2.687506911343405,-2.076308791685367,10.440967652030942,42.853355345336624,6.546247424695817,42.853355345336624,1.1534084987406958
2,-1.5971901210578174,1.1121769944006772,7.1147057760087264,18.64363738977865,4.317827855505433,18.64363738977865,0.9878582632217533
3,-1.5971901210578174,1.1121769944006772,7.1147057760087264,18.64363738977865,4.317827855505433,18.64363738977865,0.7934599984236331
4,-1.5971901210578174,1.1121769944006772,7.1147057760087264,18.64363738977865,4.317827855505433,18.64363738977865,0.6652204749000017
5,2.831407255455037,-1.2220003367674153,8.302492569394015,6.041994206062778,2.458046827475583,6.041994206062778,0.5657364832624396
6,2.831407255455037,-1.2220003367674153,8.302492569394015,6.041994206062778,2.458046827475583,6.041994206062778,0.538154319119371
7,2.831407255455037,-1.2220003367674153,8.302492569394015,6.041994206062778,2.458046827475583,6.041994206062778,0.5066612034128384
8,2.831407255455037,-1.2220003367674153,8.302492569394015,6.041994206062778,2.458046827475583,6.041994206062778,0.5038396467768341
9,2.831407255455037,-1.2220003367674153,8.302492569394015,6.041994206062778,2.458046827475583,6.041994206062778,0.4437703976010851
10,2.831407255455037,-1.2220003367674153,8.302492569394015,6.041994206062778,2.458046827475583,6.041994206062778,0.3970425788946841
11,2.831407255455037,-1.2220003367674153,8.302492569394015,6.041994206062778,2.458046827475583,6.041994206062778,0.34104552878672334
12,0.6343038374450707,-1.9584439859728064,7.196461187384962,4.215260255583335,2.0531098985644523,4.215260255583335,0.29267886185597525
13,3.305773016928015,-1.7985890537295397,6.14458643940921,2.3636928869349645,1.5374306120716357,2.3636928869349645,0.2219026377355963
14,2.831407255455037,-1.2220003367674153,6.964819524807297,1.671398889397501,1.292825931592301,1.671398889397501,0.2199731705147696
15,2.732829730671476,-0.2965754829888745,6.53257995545685,1.3154868742427832,1.1469467617299345,1.3154868742427832,0.20944866147699415
16,2.732829730671476,-0.2965754829888745,6.53257995545685,0.8743244532260439,1.1469467617299345,0.8743244532260439,0.20574525212482164
17,2.732829730671476,-0.2965754829888745,6.53257995545685,0.8743244532260439,1.1469467617299345,0.8743244532260439,0.1815399476409331
18,2.732829730671476,-0.2965754829888745,6.53257995545685,0.8743244532260439,1.1469467617299345,0.8743244532260439,0.14278882776414645
19,2.732829730671476,-0.2965754829888745,6.53257995545685,0.8743244532260439,1.1469467617299345,0.8743244532260439,0.124463843868318
20,2.110955318601107,-0.8747712291347582,6.130423908420312,0.04500372366592226,0.21214081093915488,0.04500372366592226,0.09985322081890159
21,2.110955318601107,-0.8747712291347582,6.130423908420312,0.04500372366592226,0.21214081093915488,0.04500372366592226,0.09097548161072677
22,2.110955318601107,-0.8747712291347582,6.130423908420312,0.04500372366592226,0.21214081093915488,0.04500372366592226,0.07627755253519004
23,2.110955318601107,-0.8747712291347582,6.130423908420312,0.04500372366592226,0.21214081093915488,0.04500372366592226,0.06456358420297321
24,2.110955318601107,-0.8747712291347582,6.130423908420312,0.04500372366592226,0.21214081093915488,0.04500372366592226,0.06203734085601547
25,2.110955318601107,-0.8747712291347582,6.130423908420312,0.04500372366592226,0.21214081093915488,0.04500372366592226,0.051207068337265245
26,2.1623336896441216,-1.0212906375044604,6.098872792135683,0.03658134706352639,0.19126250825377772,0.03658134706352639,0.04893083106090309
27,2.1623336896441216,-1.0212906375044604,6.098872792135683,0.03658134706352639,0.19126250825377772,0.03658134706352639,0.03564338235973766
28,2.1623336896441216,-1.0212906375044604,6.098872792135683,0.03658134706352639,0.19126250825377772,0.03658134706352639,0.03377535622226433
29,2.1450425731400458,-1.032190075862502,6.068798671622705,0.02680680622416797,0.16372784193339865,0.02680680622416797,0.03056466149273505
30,2.1450425731400458,-1.032190075862502,6.068798671622705,0.02680680622416797,0.16372784193339865,0.02680680622416797,0.030236633430306994
31,2.1450425731400458,-1.032190075862502,6.068798671622705,0.02680680622416797,0.16372784193339865,0.02680680622416797,0.024046987607704764
32,2.1450425731400458,-1.032190075862502,6.068798671622705,0.02680680622416797,0.16372784193339865,0.02680680622416797,0.021940072318304905
33,1.8599455817914716,-0.9529761195004802,6.017206171805949,0.02212253774517831,0.1487364707971058,0.02212253774517831,0.01974133551018488
34,1.999983686538073,-0.930867344636571,5.892210919750866,0.016397810124681927,0.12805393443655655,0.016397810124681927,0.01835085925375974
35,1.9897888073664838,-1.080219153105947,6.036485162015602,0.007870548027338858,0.08871610917606147,0.007870548027338858,0.015609045112156258
36,1.9897888073664838,-1.080219153105947,6.036485162015602,0.007870548027338858,0.08871610917606147,0.007870548027338858,0.014960986904099511
37,1.9897888073664838,-1.080219153105947,6.036485162015602,0.007870548027338858,0.08871610917606147,0.007870548027338858,0.01316330614602263
38,1.9897888073664838,-1.080219153105947,6.036485162015602,0.007870548027338858,0.08871610917606147,0.007870548027338858,0.012095099110297977
39,1.9897888073664838,-1.080219153105947,6.036485162015602,0.007870548027338858,0.08871610917606147,0.007870548027338858,0.011140144261645507
40,1.9897888073664838,-1.080219153105947,6.036485162015602,0.007870548027338858,0.08871610917606147,0.007870548027338858,0.010708489600550292
41,2.0136962615083007,-0.9616710198203009,6.023883072419466,0.0022270994491129666,0.047192154529253766,0.0022270994491129666,0.009519608176095824
42,2.0136962615083007,-0.9616710198203009,6.023883072419466,0.0022270994491129666,0.047192154529253766,0.0022270994491129666,0.008859871495663375
43,2.0136962615083007,-0.9616710198203009,6.023883072419466,0.0022270994491129666,0.047192154529253766,0.0022270994491129666,0.008301239363656426
44,1.967878147964882,-1.0168237161392994,6.017206171805949,0.0016109031511175737,0.040136057991755666,0.0016109031511175737,0.0076426392341878
45,1.967878147964882,-0.9880988327470135,6.00728829458609,0.0012265703981232026,0.03502242707356534,0.0012265703981232026,0.006690060537921591
46,2.0282706167678164,-0.9934598917986968,6.01417037412784,0.0010428002906404479,0.0322924184699822,0.0010428002906404479,0.005522355480735018
47,2.010789999370438,-1.0203064342060912,6.000927616708399,0.0005296358293380634,0.02301381822597162,0.0005296358293380634,0.004431175931406889
48,2.010789999370438,-1.0203064342060912,6.000927616708399,0.0005296358293380634,0.02301381822597162,0.0005296358293380634,0.004135166552258073
49,2.010789999370438,-1.0203064342060912,6.000927616708399,0.0005296358293380634,0.02301381822597162,0.0005296358293380634,0.003855662997205239
50,2.010789999370438,-1.0203064342060912,6.000927616708399,0.0005296358293380634,0.02301381822597162,0.0005296358293380634,0.0031820177371289153
51,2.0105912100973313,-0.9923847559423962,6.005753633936507,0.0002032699768580107,0.014257278031167475,0.0002032699768580107,0.0026457319336890077
52,2.0105912100973313,-0.9923847559423962,6.005753633936507,0.0002032699768580107,0.014257278031167475,0.0002032699768580107,0.002387022042814744
53,1.9893330873087365,-1.0057543707139018,6.001392094608828,0.0001488337360759789,0.012199743279101364,0.0001488337360759789,0.0020856492839981086
54,1.9893330873087365,-1.0057543707139018,6.001392094608828,0.0001488337360759789,0.012199743279101364,0.0001488337360759789,0.0019205174002358395
55,1.9893330873087365,-1.0057543707139018,6.001392094608828,0.0001488337360759789,0.012199743279101364,0.0001488337360759789,0.0017224863046819167
56,1.9893330873087365,-1.0057543707139018,6.001392094608828,0.0001488337360759789,0.012199743279101364,0.0001488337360759789,0.0015583040636546006
57,1.992009050538826,-1.0016265375354578,6.005535129002887,9.713855072388845e-05,0.009855889139184169,9.713855072388845e-05,0.0014843378717758102
58,1.992009050538826,-1.0016265375354578,6.005535129002887,9.713855072388845e-05,0.009855889139184169,9.713855072388845e-05,0.0013005465660594808
