iteration,x,value,error,value_error
1,2.586538704465785,-12.579899473636658,0.0801279622008817,0.05960652636334274
2,2.6942432225531237,-12.627535824497421,0.027576555886457133,0.011970175502579394
3,2.6942432225531237,-12.627535824497421,0.027576555886457133,0.011970175502579394
4,2.643754552268762,-12.636383380229631,0.022912114397904304,0.003122619770369539
5,2.6476350818651606,-12.637724723582135,0.019031584801505907,0.0017812764178657403
6,2.6599069537440343,-12.639794472527573,0.006759712922632222,0.0002884725275720257
7,2.662417790089636,-12.639806834830132,0.004248876577030547,0.00030083483013143564
8,2.6623935286530016,-12.639807389211125,0.004273138013664912,0.00030138921112410344
9,2.661593631164241,-12.639818296617243,0.005073035502425327,0.00031229661724196944
10,2.661593631164241,-12.639818296617243,0.005073035502425327,0.00031229661724196944
11,2.661593631164241,-12.639818705079865,0.005073035502425327,0.0003127050798639175
12,2.661593631164241,-12.639818705079865,0.005073035502425327,0.0003127050798639175
13,2.661335649263306,-12.63981876509471,0.005331017403360505,0.00031276509470856695
14,2.6614282502779445,-12.639818767957614,0.0052384163887220225,0.000312767957613147
15,2.6614282502779445,-12.639818767957614,0.0052384163887220225,0.000312767957613147
16,2.6613774408863446,-12.639818790096445,0.005289225780321871,0.00031279009644435973
17,2.6613774408863446,-12.639818790096445,0.005289225780321871,0.00031279009644435973
18,2.6613774408863446,-12.639818790096445,0.005289225780321871,0.00031279009644435973
19,2.6613774408863446,-12.639818790096445,0.005289225780321871,0.00031279009644435973
20,2.6613810627385126,-12.639818790426688,0.005285603928153915,0.00031279042668685975
21,2.6613810627385126,-12.639818790426688,0.005285603928153915,0.00031279042668685975
22,2.6613810627385126,-12.639818790426688,0.005285603928153915,0.00031279042668685975
23,2.6613848079700446,-12.639818790460083,0.0052818586966218994,0.0003127904600823683
24,2.6613848079700446,-12.639818790460083,0.0052818586966218994,0.0003127904600823683
25,2.6613821485918936,-12.63981879046861,0.005284518074772926,0.00031279046860888116
26,2.661382580518059,-12.639818790477978,0.005284086148607425,0.0003127904779773871
27,2.66138366679175,-12.639818790483094,0.0052829998749164275,0.0003127904830932948
28,2.6613832864653073,-12.639818790484306,0.005283380201359211,0.0003127904843047702
29,2.6613832864653073,-12.639818790484306,0.005283380201359211,0.0003127904843047702
30,2.661383354698829,-12.639818790484313,0.005283311967837712,0.0003127904843118756
31,2.6613833463542664,-12.63981879048433,0.005283320312400086,0.0003127904843296392
32,2.6613833463542664,-12.63981879048433,0.005283320312400086,0.0003127904843296392
33,2.6613833463542664,-12.63981879048433,0.005283320312400086,0.0003127904843296392
34,2.6613833391708814,-12.639818790484334,0.005283327495785084,0.0003127904843331919
35,2.6613833475553337,-12.639818790484338,0.00528331911133284,0.0003127904843367446
36,2.6613833475553337,-12.639818790484338,0.00528331911133284,0.0003127904843367446
37,2.6613833475553337,-12.639818790484338,0.00528331911133284,0.0003127904843367446
38,2.6613833235644275,-12.639818790484341,0.005283343102238991,0.0003127904843402973
39,2.6613833235644275,-12.639818790484341,0.005283343102238991,0.0003127904843402973
40,2.6613833235644275,-12.639818790484341,0.005283343102238991,0.0003127904843402973
41,2.6613833235644275,-12.639818790484341,0.005283343102238991,0.0003127904843402973
42,2.6613833235644275,-12.639818790484341,0.005283343102238991,0.0003127904843402973
43,2.6613833235644275,-12.639818790484341,0.005283343102238991,0.0003127904843402973
44,2.6613833235644275,-12.639818790484341,0.005283343102238991,0.0003127904843402973
45,2.6613833235644275,-12.639818790484341,0.005283343102238991,0.0003127904843402973
46,2.6613833235644275,-12.639818790484341,0.005283343102238991,0.0003127904843402973
47,2.6613833235644275,-12.639818790484341,0.005283343102238991,0.0003127904843402973
48,2.6613833235644275,-12.639818790484341,0.005283343102238991,0.0003127904843402973
49,2.6613833235644275,-12.639818790484341,0.005283343102238991,0.0003127904843402973
50,2.6613833235644275,-12.639818790484341,0.005283343102238991,0.0003127904843402973
