iteration,x,y,z,value,error,value_error,diversity
1,2.5806089145833653,1.9776155206842958,2.7454367855002317,19.795482617888748,4.449211460235257,19.795482617888748,1.118591953656338
2,2.5806089145833653,1.9776155206842958,2.7454367855002317,19.795482617888748,4.449211460235257,19.795482617888748,0.9467356721445651
3,2.5806089145833653,1.9776155206842958,2.7454367855002317,19.795482617888748,4.449211460235257,19.795482617888748,0.8716787759693124
4,2.5806089145833653,1.9776155206842958,2.7454367855002317,19.795482617888748,4.449211460235257,19.795482617888748,0.7551597253890497
5,2.5806089145833653,1.9776155206842958,2.7454367855002317,10.47779726342877,4.449211460235257,10.47779726342877,0.7650354094410763
6,2.5806089145833653,1.9776155206842958,2.7454367855002317,10.47779726342877,4.449211460235257,10.47779726342877,0.7079963487901367
7,2.5806089145833653,1.9776155206842958,2.7454367855002317,10.47779726342877,4.449211460235257,10.47779726342877,0.6838961396289552
8,2.5806089145833653,1.9776155206842958,2.7454367855002317,10.47779726342877,4.449211460235257,10.47779726342877,0.6386089283396194
9,2.5806089145833653,1.9776155206842958,2.7454367855002317,2.0875974239501978,4.449211460235257,2.0875974239501978,0.6081245406105479
10,2.5806089145833653,1.9776155206842958,2.7454367855002317,2.0875974239501978,4.449211460235257,2.0875974239501978,0.5612340027314633
11,2.5806089145833653,1.9776155206842958,2.7454367855002317,2.0875974239501978,4.449211460235257,2.0875974239501978,0.4427642441350234
12,2.5806089145833653,1.9776155206842958,2.7454367855002317,2.0875974239501978,4.449211460235257,2.0875974239501978,0.4006440347559073
13,2.5806089145833653,1.9776155206842958,2.7454367855002317,2.0875974239501978,4.449211460235257,2.0875974239501978,0.31094918725082743
14,1.026779558374372,-0.5023321554228524,5.356235360953651,1.6092642220105224,1.2685677837666076,1.6092642220105224,0.2927931757680425
15,1.026779558374372,-0.5023321554228524,5.356235360953651,1.6092642220105224,1.2685677837666076,1.6092642220105224,0.24255080536272608
16,1.8948781469676277,-2.0697456905638703,5.790063762803147,1.1994796701533046,1.0952075922642723,1.1994796701533046,0.22070003450227083
17,2.133368830296863,-1.476707540886519,6.4023089929075425,0.40688985020710666,0.637879181512539,0.40688985020710666,0.20403563927124257
18,2.133368830296863,-1.476707540886519,6.4023089929075425,0.40688985020710666,0.637879181512539,0.40688985020710666,0.18438263137446112
19,2.133368830296863,-1.476707540886519,6.4023089929075425,0.40688985020710666,0.637879181512539,0.40688985020710666,0.16465085329488796
20,2.133368830296863,-1.476707540886519,6.4023089929075425,0.40688985020710666,0.637879181512539,0.40688985020710666,0.1548763282981714
21,2.133368830296863,-1.476707540886519,6.4023089929075425,0.40688985020710666,0.637879181512539,0.40688985020710666,0.12060249662231891
22,1.8948781469676277,-0.8570097188314172,5.790063762803147,0.07557004818200344,0.27490006944706913,0.07557004818200344,0.09233515868230391
23,1.8948781469676277,-0.8570097188314172,5.790063762803147,0.07557004818200344,0.27490006944706913,0.07557004818200344,0.07746644590496911
24,1.8948781469676277,-0.8570097188314172,5.790063762803147,0.07557004818200344,0.27490006944706913,0.07557004818200344,0.06472074812231582
25,2.069257695936134,-0.9509179975744857,6.2098737278445455,0.05125265304784653,0.226390487980053,0.05125265304784653,0.05739052797024602
26,2.069257695936134,-0.9509179975744857,6.2098737278445455,0.05125265304784653,0.226390487980053,0.05125265304784653,0.047350359106978525
27,2.069257695936134,-0.9509179975744857,6.2098737278445455,0.05125265304784653,0.226390487980053,0.05125265304784653,0.03840361887951894
28,2.069257695936134,-0.9509179975744857,6.2098737278445455,0.05125265304784653,0.226390487980053,0.05125265304784653,0.03675962224394371
29,2.069257695936134,-0.9509179975744857,6.2098737278445455,0.05125265304784653,0.226390487980053,0.05125265304784653,0.032863163698155305
30,2.069257695936134,-0.9509179975744857,6.2098737278445455,0.05125265304784653,0.226390487980053,0.05125265304784653,0.030157812261086953
31,1.923607239794972,-0.9004214864101492,6.086552738711617,0.023243110758988536,0.15245691443482823,0.023243110758988536,0.02846990672307205
32,2.027330428664804,-1.0549398251237676,6.116222177808485,0.01727293133017919,0.1314265244544616,0.01727293133017919,0.02250644200721709
33,2.027330428664804,-1.0549398251237676,6.116222177808485,0.01727293133017919,0.1314265244544616,0.01727293133017919,0.019855965752618124
34,1.998646481479792,-1.043307587004616,5.983429298286744,0.0021519672598166416,0.04638930113524714,0.0021519672598166416,0.01714625263644781
35,1.998646481479792,-1.043307587004616,5.983429298286744,0.0021519672598166416,0.04638930113524714,0.0021519672598166416,0.01598630255908606
36,1.998646481479792,-1.043307587004616,5.983429298286744,0.0021519672598166416,0.04638930113524714,0.0021519672598166416,0.014315129136805438
37,1.998646481479792,-1.043307587004616,5.983429298286744,0.0021519672598166416,0.04638930113524714,0.0021519672598166416,0.012620487353427898
38,2.0183437457535867,-1.0024349170510547,6.001757274893631,0.00034550984436953125,0.01858789510325285,0.00034550984436953125,0.010537570747932367
39,2.0183437457535867,-1.0024349170510547,6.001757274893631,0.00034550984436953125,0.01858789510325285,0.00034550984436953125,0.00871606110890298
40,2.0183437457535867,-1.0024349170510547,6.001757274893631,0.00034550984436953125,0.01858789510325285,0.00034550984436953125,0.0073412526120623205
41,2.0183437457535867,-1.0024349170510547,6.001757274893631,0.00034550984436953125,0.01858789510325285,0.00034550984436953125,0.004978507496154215
42,2.0183437457535867,-1.0024349170510547,6.001757274893631,0.00034550984436953125,0.01858789510325285,0.00034550984436953125,0.0046716064212736245
43,2.0183437457535867,-1.0024349170510547,6.001757274893631,0.00034550984436953125,0.01858789510325285,0.00034550984436953125,0.004143908895437725
44,2.0183437457535867,-1.0024349170510547,6.001757274893631,0.00034550984436953125,0.01858789510325285,0.00034550984436953125,0.003918508793788327
45,2.0183437457535867,-1.0024349170510547,6.001757274893631,0.00034550984436953125,0.01858789510325285,0.00034550984436953125,0.0035572355694032964
46,2.0183437457535867,-1.0024349170510547,6.001757274893631,0.00034550984436953125,0.01858789510325285,0.00034550984436953125,0.0034239509534809373
47,2.00968937763205,-0.9865837603906726,5.997246581779724,0.00028146083604710376,0.016776794570093054,0.00028146083604710376,0.0028360643890243628
48,2.00968937763205,-0.9865837603906726,5.997246581779724,0.00028146083604710376,0.016776794570093054,0.00028146083604710376,0.0026446330710084495
49,1.998646481479792,-1.0010339833902222,5.983429298286744,0.00027748928930551163,0.016658009764239895,0.00027748928930551163,0.002085841817520846
50,2.003313535543434,-0.9853145415810864,5.9949640752367195,0.000252002744992661,0.015874594325294145,0.000252002744992661,0.0018893446125380685
51,2.0024988680832294,-1.0029267196223373,5.9939636687873765,5.1247323953649034e-05,0.00715872362601386,5.1247323953649034e-05,0.0015839442769158619
52,2.0024988680832294,-1.0029267196223373,5.9939636687873765,5.1247323953649034e-05,0.00715872362601386,5.1247323953649034e-05,0.001309252236278133
53,2.0018092911914884,-1.0016992616475981,5.998649745495825,7.984211988639347e-06,0.0028256347939249592,7.984211988639347e-06,0.0012522759052715873
54,2.0016707541494014,-1.0010103782852973,5.998289744488705,6.737257621056886e-06,0.002595622780963537,6.737257621056886e-06,0.000901693861340226
55,2.0016707541494014,-1.0010103782852973,5.998289744488705,6.737257621056886e-06,0.002595622780963537,6.737257621056886e-06,0.0006859019991538846
56,2.0016707541494014,-1.0010103782852973,5.998289744488705,6.737257621056886e-06,0.002595622780963537,6.737257621056886e-06,0.0006450383455882971
57,2.0000159164737354,-0.9975783411910193,5.999874296682673,5.880486045236987e-06,0.00242497134936415,5.880486045236987e-06,0.0004959418007012339
58,2.0000159164737354,-0.9975783411910193,5.999874296682673,5.880486045236987e-06,0.00242497134936415,5.880486045236987e-06,0.00046390697324856875
59,2.0000159164737354,-0.9975783411910193,5.999874296682673,5.880486045236987e-06,0.00242497134936415,5.880486045236987e-06,0.0003922487405117784
60,2.0002112327347277,-1.00060733630648,5.998588413380467,2.4060534418326776e-06,0.0015511458480209647,2.4060534418326776e-06,0.0003710204527282261
