iteration,x,y,value,error,value_error,diversity
1,2.142249182146184,0.5460892558419683,4.887445033752029,2.2107566654320028,4.887445033752029,0.7917651248578845
2,0.7744038644320241,-0.6023516548689187,0.9625288613705778,0.9810855525236205,0.9625288613705778,0.6949748891747725
3,0.7744038644320241,-0.6023516548689187,0.6137347716858601,0.9810855525236205,0.6137347716858601,0.6502453084763609
4,0.21593097979232745,0.5925047708403177,0.397688091502612,0.6306251592686514,0.397688091502612,0.5472759317173206
5,0.21593097979232745,0.5925047708403177,0.397688091502612,0.6306251592686514,0.397688091502612,0.41023456282238896
6,0.21593097979232745,0.5925047708403177,0.397688091502612,0.6306251592686514,0.397688091502612,0.34075936088896924
7,-0.17193938181176271,-0.02503078684383553,0.03018969130783265,0.17375180950952035,0.03018969130783265,0.29135004774338535
8,-0.17193938181176271,-0.02503078684383553,0.03018969130783265,0.17375180950952035,0.03018969130783265,0.2211569458168744
9,-0.17193938181176271,-0.02503078684383553,0.03018969130783265,0.17375180950952035,0.03018969130783265,0.22093023075179677
10,-0.17193938181176271,-0.02503078684383553,0.03018969130783265,0.17375180950952035,0.03018969130783265,0.1677248143828658
11,-0.17193938181176271,-0.02503078684383553,0.005555834760384272,0.17375180950952035,0.005555834760384272,0.14255625683175197
12,-0.17193938181176271,-0.02503078684383553,0.005555834760384272,0.17375180950952035,0.005555834760384272,0.11499459318537358
13,-0.17193938181176271,-0.02503078684383553,0.005555834760384272,0.17375180950952035,0.005555834760384272,0.09606216793819033
14,-0.17193938181176271,-0.02503078684383553,0.005555834760384272,0.17375180950952035,0.005555834760384272,0.0740733819894332
15,-0.17193938181176271,-0.02503078684383553,0.005555834760384272,0.17375180950952035,0.005555834760384272,0.06966572462425366
16,-0.033714876791783865,0.040767561537023767,0.002798686990760186,0.05290261799533352,0.002798686990760186,0.05712374204378062
17,-0.033714876791783865,0.040767561537023767,0.002798686990760186,0.05290261799533352,0.002798686990760186,0.044836111812057315
18,-0.033714876791783865,0.040767561537023767,0.002798686990760186,0.05290261799533352,0.002798686990760186,0.037015746996115
19,-0.033714876791783865,0.040767561537023767,0.002798686990760186,0.05290261799533352,0.002798686990760186,0.031430900968701436
20,-0.015553933519001362,-0.036580995814599504,0.0015800941027012605,0.03975039751626719,0.0015800941027012605,0.02707382864779275
21,-0.015553933519001362,-0.036580995814599504,0.0015800941027012605,0.03975039751626719,0.0015800941027012605,0.025587716816274912
22,-0.01708714912227194,0.01809405349064619,0.0006193654368491242,0.02488705359919338,0.0006193654368491242,0.023206878535348828
23,-0.01708714912227194,0.01809405349064619,0.0006193654368491242,0.02488705359919338,0.0006193654368491242,0.018054273619215175
24,-0.01708714912227194,0.01809405349064619,0.0006193654368491242,0.02488705359919338,0.0006193654368491242,0.011528879879138774
25,-0.01708714912227194,0.01809405349064619,0.0006136952910975721,0.02488705359919338,0.0006136952910975721,0.011335297451974594
26,-0.01708714912227194,0.01809405349064619,0.0006136952910975721,0.02488705359919338,0.0006136952910975721,0.009548268727218128
27,-0.007665482032448878,0.019172298301286972,0.00042633663694332787,0.02064792088669772,0.00042633663694332787,0.008554489939200985
28,-0.007665482032448878,0.019172298301286972,0.00042633663694332787,0.02064792088669772,0.00042633663694332787,0.007990516093111954
29,-0.007665482032448878,0.019172298301286972,0.00042633663694332787,0.02064792088669772,0.00042633663694332787,0.006341656161984875
30,-0.0032739537023580567,0.009373150549528475,9.857472406930998e-05,0.009928480451172273,9.857472406930998e-05,0.005608166869696634
