iteration,x,y,value,error,value_error,diversity
1,-1.2024833887785906,-1.8786648346027746,-1.7349009546254992,0.7359348315218693,0.5070890453745007,1.2427797151838522
2,-1.2024833887785906,-1.8786648346027746,-1.7349009546254992,0.7359348315218693,0.5070890453745007,1.2245385528649961
3,-1.2024833887785906,-1.8786648346027746,-1.7349009546254992,0.7359348315218693,0.5070890453745007,1.1457610994736587
4,-1.1320200159619231,-1.3412594381763863,-2.1958931529420167,0.1967068352577129,0.046096847057983226,1.0425525523662706
5,-1.1320200159619231,-1.3412594381763863,-2.1958931529420167,0.1967068352577129,0.046096847057983226,0.9770172125828591
6,-1.1320200159619231,-1.3412594381763863,-2.1958931529420167,0.1967068352577129,0.046096847057983226,0.8064812540109731
7,-1.1320200159619231,-1.3412594381763863,-2.1958931529420167,0.1967068352577129,0.046096847057983226,0.8699490924334552
8,-1.1320200159619231,-1.3412594381763863,-2.1958931529420167,0.1967068352577129,0.046096847057983226,0.8617220428016856
9,-1.1320200159619231,-1.3412594381763863,-2.1958931529420167,0.1967068352577129,0.046096847057983226,0.8160911799999468
10,-1.1320200159619231,-1.3412594381763863,-2.1958931529420167,0.1967068352577129,0.046096847057983226,0.830817798739015
11,-1.1320200159619231,-1.3412594381763863,-2.1958931529420167,0.1967068352577129,0.046096847057983226,0.8336669253106989
12,-1.1320200159619231,-1.3412594381763863,-2.1958931529420167,0.1967068352577129,0.046096847057983226,0.7768484136251232
13,-1.1320200159619231,-1.3412594381763863,-2.1958931529420167,0.1967068352577129,0.046096847057983226,0.7267263957562766
14,-1.0903460128471014,-1.057217699598209,-2.20200717949556,0.1033784016322429,0.03998282050444013,0.6944381412236481
15,-1.0903460128471014,-1.057217699598209,-2.20200717949556,0.1033784016322429,0.03998282050444013,0.6446312018150965
16,-1.1364922317503239,-1.1599013161586833,-2.240440707713741,0.017166475636180893,0.0015492922862589964,0.6510016209701828
17,-1.1364922317503239,-1.1599013161586833,-2.240440707713741,0.017166475636180893,0.0015492922862589964,0.6339683413554786
18,-1.1364922317503239,-1.1599013161586833,-2.240440707713741,0.017166475636180893,0.0015492922862589964,0.6353415585026674
19,-1.1364922317503239,-1.1599013161586833,-2.240440707713741,0.017166475636180893,0.0015492922862589964,0.46911393611426
20,-1.1364922317503239,-1.1599013161586833,-2.240440707713741,0.017166475636180893,0.0015492922862589964,0.4540944025117207
21,-1.1364922317503239,-1.1599013161586833,-2.240440707713741,0.017166475636180893,0.0015492922862589964,0.1623083815293285
22,-1.1364922317503239,-1.1599013161586833,-2.240440707713741,0.017166475636180893,0.0015492922862589964,0.14670783972267704
23,-1.1364922317503239,-1.1599013161586833,-2.240440707713741,0.017166475636180893,0.0015492922862589964,0.11228893634269019
24,-1.1364922317503239,-1.1599013161586833,-2.240440707713741,0.017166475636180893,0.0015492922862589964,0.09874590336123046
25,-1.1364922317503239,-1.1599013161586833,-2.240440707713741,0.017166475636180893,0.0015492922862589964,0.10062716546933523
26,-1.1364922317503239,-1.1599013161586833,-2.240440707713741,0.017166475636180893,0.0015492922862589964,0.08557653526436301
27,-1.1364922317503239,-1.1599013161586833,-2.240440707713741,0.017166475636180893,0.0015492922862589964,0.0827779866569648
28,-1.1364922317503239,-1.1599013161586833,-2.240440707713741,0.017166475636180893,0.0015492922862589964,0.05886401669382371
29,-1.1514919035414297,-1.1739914712627428,-2.240880342504643,0.029733320577457045,0.0011096574953568528,0.05076624472198291
30,-1.1514919035414297,-1.1739914712627428,-2.240880342504643,0.029733320577457045,0.0011096574953568528,0.04385427685912229
31,-1.1421253609114594,-1.1585394476372692,-2.241602877914162,0.0138566801418546,0.00038712208583779883,0.04138303687033493
32,-1.147480612708544,-1.139535310356393,-2.24183467903919,0.00599146970561761,0.00015532096080983493,0.03209651490757179
33,-1.147480612708544,-1.139535310356393,-2.24183467903919,0.00599146970561761,0.00015532096080983493,0.02418086552669048
34,-1.146613808088174,-1.1505660857774411,-2.241932627072248,0.005820110237951801,5.737292775176428e-05,0.017421553607495387
35,-1.146613808088174,-1.1505660857774411,-2.241932627072248,0.005820110237951801,5.737292775176428e-05,0.014084454257249489
36,-1.146613808088174,-1.1505660857774411,-2.2419559424668707,0.005820110237951801,3.4057533129239204e-05,0.014915567961977867
37,-1.146613808088174,-1.1505660857774411,-2.2419559424668707,0.005820110237951801,3.4057533129239204e-05,0.013310562701938549
38,-1.146613808088174,-1.1505660857774411,-2.2419559424668707,0.005820110237951801,3.4057533129239204e-05,0.010600552224100918
39,-1.146613808088174,-1.1505660857774411,-2.2419559424668707,0.005820110237951801,3.4057533129239204e-05,0.010041877754182083
40,-1.146613808088174,-1.1505660857774411,-2.2419559424668707,0.005820110237951801,3.4057533129239204e-05,0.00879926404560369
41,-1.146613808088174,-1.1505660857774411,-2.2419559424668707,0.005820110237951801,3.4057533129239204e-05,0.007828342225122702
42,-1.1450251047839377,-1.1437208657368978,-2.2419840728098848,0.0012599418772515905,5.927190115162517e-06,0.0073078236270475785
43,-1.1450251047839377,-1.1437208657368978,-2.2419840728098848,0.0012599418772515905,5.927190115162517e-06,0.005658139825764507
44,-1.1450251047839377,-1.1437208657368978,-2.2419840728098848,0.0012599418772515905,5.927190115162517e-06,0.005143226594722313
