iteration,x,y,value,error,value_error,diversity
1,-1.237375752386884,-1.359178390552413,-2.092625297595401,0.23327650026177604,0.14936470240459876,1.255424879917538
2,-1.2368209457224282,-1.3574193814119702,-2.0946201419763844,0.23144167750405384,0.14736985802361557,1.2232274063886837
3,-1.118621380894011,-1.353599728640297,-2.1773748973705787,0.21027831076724415,0.06461510262942127,1.1812222615578243
4,-1.118621380894011,-1.353599728640297,-2.1773748973705787,0.21027831076724415,0.06461510262942127,1.163924616066927
5,-1.1502164418982708,-0.9682260628243771,-2.2084784038063736,0.17683148653686667,0.033511596193626314,1.1931608159272358
6,-1.1502164418982708,-0.9682260628243771,-2.2172809396011792,0.17683148653686667,0.024709060398820704,1.1373478870412006
7,-1.118621380894011,-1.221321551915046,-2.2220423961524043,0.08076391118545619,0.01994760384759564,1.17175033157049
8,-1.1412097787692344,-1.2786476122073975,-2.2228988183394347,0.13372077296125723,0.019091181660565226,1.1852343310398283
9,-1.1412097787692344,-1.2786476122073975,-2.2228988183394347,0.13372077296125723,0.019091181660565226,1.143647533233082
10,-1.1189714032278517,-1.2149218870657092,-2.223626905531746,0.07462114092111309,0.018363094468254015,1.1070641103825523
11,-1.1562187019174397,-1.254235731934133,-2.2305830902293513,0.10983225109799116,0.011406909770648621,0.9172065071501287
12,-1.1560782603307627,-1.2542153201844557,-2.2306044469445454,0.10979766189755549,0.011385553055454523,0.7015824555381159
13,-1.1560782603307627,-1.2542153201844557,-2.2306044469445454,0.10979766189755549,0.011385553055454523,0.6341328491717422
14,-1.1413313945979437,-1.1209521051130287,-2.241385195586246,0.024303334217330403,0.0006048044137538788,0.8234611712596724
15,-1.1413313945979437,-1.1209521051130287,-2.241385195586246,0.024303334217330403,0.0006048044137538788,0.8084961496329461
16,-1.1413313945979437,-1.1209521051130287,-2.241385195586246,0.024303334217330403,0.0006048044137538788,0.9681657092425033
17,-1.1445215095754957,-1.1323253463732903,-2.2418341452387285,0.012662956680071285,0.0001558547612714456,0.6097338660553735
18,-1.1445215095754957,-1.1323253463732903,-2.2418341452387285,0.012662956680071285,0.0001558547612714456,0.3461585912238278
19,-1.1463697328873912,-1.136621562991432,-2.2418635998642076,0.008473182797774223,0.00012640013579234832,0.40426400806373236
20,-1.1463697328873912,-1.136621562991432,-2.2418635998642076,0.008473182797774223,0.00012640013579234832,0.16749848206368176
21,-1.145825996457743,-1.1389771837286582,-2.2419288139880997,0.006062137675276017,6.11860119001939e-05,0.31852941175934124
22,-1.1460639535075714,-1.1434122228603056,-2.2419622311161302,0.0019060116385596067,2.7768883869683236e-05,0.5455376948765829
23,-1.1460639535075714,-1.1434122228603056,-2.2419622311161302,0.0019060116385596067,2.7768883869683236e-05,0.9672348192678207
24,-1.1460639535075714,-1.1434122228603056,-2.2419622311161302,0.0019060116385596067,2.7768883869683236e-05,1.0249323055619917
25,-1.1460639535075714,-1.1434122228603056,-2.2419622311161302,0.0019060116385596067,2.7768883869683236e-05,1.1125575606637295
26,-1.1460639535075714,-1.1434122228603056,-2.2419622311161302,0.0019060116385596067,2.7768883869683236e-05,1.1203988195187717
27,-1.1460639535075714,-1.1434122228603056,-2.2419622311161302,0.0019060116385596067,2.7768883869683236e-05,0.985986980260406
28,-1.1460639535075714,-1.1434122228603056,-2.2419622311161302,0.0019060116385596067,2.7768883869683236e-05,0.8824835999698537
