iteration,x,y,value,error,value_error,diversity
1,-0.06434230018370535,1.0081737650725646,-1.6875410814662417,inf,0.014958918533758192,1.0910644197105441
2,-0.06434230018370535,1.0081737650725646,-1.6875410814662417,inf,0.014958918533758192,1.0866558014008458
3,-0.06434230018370535,1.0081737650725646,-1.6875410814662417,inf,0.014958918533758192,0.9972139890467847
4,-0.06434230018370535,1.0081737650725646,-1.6875410814662417,inf,0.014958918533758192,1.0202371125875063
5,-0.06434230018370535,1.0081737650725646,-1.6875410814662417,inf,0.014958918533758192,0.9796706065891778
6,-0.06434230018370535,1.0081737650725646,-1.6875410814662417,inf,0.014958918533758192,0.9428701720325378
7,-0.06434230018370535,1.0081737650725646,-1.6875410814662417,inf,0.014958918533758192,0.9273617630325751
8,-0.06434230018370535,1.0081737650725646,-1.6875410814662417,inf,0.014958918533758192,0.9792208967559966
9,-0.06434230018370535,1.0081737650725646,-1.6875410814662417,inf,0.014958918533758192,0.8751069590083436
10,-0.06434230018370535,1.0081737650725646,-1.6875410814662417,inf,0.014958918533758192,0.7472013951159923
11,-0.9827067271928378,-0.31395253873811324,-1.695242933615939,inf,0.007257066384060984,0.6207806026632259
12,-0.9827067271928378,-0.31395253873811324,-1.695242933615939,inf,0.007257066384060984,0.6020421779808485
13,0.16345258221040382,1.0422159968196318,-1.7005422119891171,inf,0.001957788010882755,0.518767430066775
14,0.16345258221040382,1.0422159968196318,-1.7005422119891171,inf,0.001957788010882755,0.4813497255611965
15,0.16345258221040382,1.0422159968196318,-1.7005422119891171,inf,0.001957788010882755,0.4474879521647587
16,0.16345258221040382,1.0422159968196318,-1.7005422119891171,inf,0.001957788010882755,0.4266243186806884
17,-0.9827067271928378,0.45518937890410527,-1.702444666430203,inf,5.533356979681159e-05,0.4104288699010934
18,-0.9827067271928378,0.45518937890410527,-1.702444666430203,inf,5.533356979681159e-05,0.4148561358108424
19,-0.9827067271928378,0.45518937890410527,-1.702444666430203,inf,5.533356979681159e-05,0.41077560909542543
20,-0.9827067271928378,0.45518937890410527,-1.702444666430203,inf,5.533356979681159e-05,0.4120099155581309
