iteration,x,y,value,error,value_error,diversity
1,0.323621225253115,0.6086980334259762,-1.19688593208703,2.2873950694481597,1.04510406791297,1.0575649059832037
2,-0.9770022243400698,-1.0963980277460825,-1.913217368240404,0.17486206319192937,0.32877263175959603,0.8207597022466231
3,-0.9770022243400698,-1.0963980277460825,-1.913217368240404,0.17486206319192937,0.32877263175959603,0.9002820298285332
4,-0.9770022243400698,-1.0963980277460825,-1.913217368240404,0.17486206319192937,0.32877263175959603,0.9077237615288791
5,-0.9770022243400698,-1.0963980277460825,-1.913217368240404,0.17486206319192937,0.32877263175959603,0.9422749288950051
6,-1.0646871858588138,-1.124051472250973,-2.1573332081999146,0.08297553420408262,0.08465679180008534,0.8912733072838868
7,-1.128235330995654,-1.0416245468608607,-2.2306445186913306,0.10470307365909536,0.011345481308669303,0.8781809696606797
8,-1.128235330995654,-1.0416245468608607,-2.2306445186913306,0.10470307365909536,0.011345481308669303,0.7436151697649878
9,-1.128235330995654,-1.0416245468608607,-2.2306445186913306,0.10470307365909536,0.011345481308669303,0.7198861433194489
10,-1.128235330995654,-1.0416245468608607,-2.2306445186913306,0.10470307365909536,0.011345481308669303,0.7201857257930895
11,-1.128235330995654,-1.0416245468608607,-2.2306445186913306,0.10470307365909536,0.011345481308669303,0.5520927382039797
12,-1.128235330995654,-1.0416245468608607,-2.2306445186913306,0.10470307365909536,0.011345481308669303,0.4360570760479856
13,-1.128235330995654,-1.1127738613125473,-2.2379068895750134,0.03629902628474421,0.004083110424986547,0.4255907178467385
14,-1.128235330995654,-1.1127738613125473,-2.2379068895750134,0.03629902628474421,0.004083110424986547,0.20843417891626254
15,-1.128235330995654,-1.1127738613125473,-2.2379068895750134,0.03629902628474421,0.004083110424986547,0.17707339411768702
16,-1.128235330995654,-1.1127738613125473,-2.2379068895750134,0.03629902628474421,0.004083110424986547,0.1859871119497903
17,-1.128235330995654,-1.1127738613125473,-2.2379068895750134,0.03629902628474421,0.004083110424986547,0.15184928154482977
18,-1.128235330995654,-1.1127738613125473,-2.2379068895750134,0.03629902628474421,0.004083110424986547,0.09715496995882279
19,-1.1437709832199006,-1.1011641317928444,-2.240150100447403,0.043832545309637184,0.0018398995525967798,0.08148149224317176
20,-1.1431526569500328,-1.1409369453166573,-2.241934363053474,0.004436831503986127,5.5636946525883246e-05,0.06745847823676243
21,-1.1431526569500328,-1.1409369453166573,-2.241934363053474,0.004436831503986127,5.5636946525883246e-05,0.05309470500380173
22,-1.1431526569500328,-1.1409369453166573,-2.241934363053474,0.004436831503986127,5.5636946525883246e-05,0.049137857655273134
23,-1.1436060955130343,-1.1448164376060948,-2.2419580410263933,0.0013836062286665647,3.195897360663835e-05,0.04306136987167631
24,-1.1436060955130343,-1.1448164376060948,-2.2419580410263933,0.0013836062286665647,3.195897360663835e-05,0.03286743446837857
25,-1.1436060955130343,-1.1448164376060948,-2.2419580410263933,0.0013836062286665647,3.195897360663835e-05,0.023847819636137878
26,-1.1436060955130343,-1.1448164376060948,-2.2419580410263933,0.0013836062286665647,3.195897360663835e-05,0.01888894890725299
27,-1.1436060955130343,-1.1448164376060948,-2.2419580410263933,0.0013836062286665647,3.195897360663835e-05,0.015169654066137952
