iteration,x,value,error,value_error,diversity
1,-1.0278819124290735,-0.9968030897738551,0.027881912429073452,0.003196910226144878,1.2406262401633796
2,-1.0278819124290735,-0.9968030897738551,0.027881912429073452,0.003196910226144878,1.240764733590603
3,0.9808017309266681,-0.9985538739075255,0.019198269073331886,0.00144612609247452,0.6889326924132345
4,1.0128530163390566,-0.9993306793182137,0.012853016339056555,0.0006693206817862674,1.0328023021451644
5,1.0105378480483087,-0.9995511219490987,0.010537848048308707,0.0004488780509013246,1.383612503447384
6,1.010481672132153,-0.9995559198323078,0.010481672132153008,0.0004440801676921513,1.2709944439898617
7,1.0005149990265632,-0.99999893855758,0.0005149990265631565,1.061442419958425e-06,0.9432636865952655
8,1.0005149990265632,-0.99999893855758,0.0005149990265631565,1.061442419958425e-06,0.0034993117095620447
9,1.0005149990243223,-0.9999989385575889,0.0005149990243222824,1.0614424110766407e-06,0.0046600002224617175
10,1.0005147845645301,-0.9999989394416602,0.0005147845645301352,1.060558339815998e-06,0.006432513031155865
11,1.000493076558708,-0.9999990270224539,0.0004930765587078945,9.729775460876056e-07,0.006567840310479035
12,1.0004930765584503,-0.999999027022455,0.0004930765584503227,9.729775449773825e-07,0.0033991161871946445
13,1.0004930765584503,-0.999999027022455,0.0004930765584503227,9.729775449773825e-07,1.3521742322076255e-05
14,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,1.2640896327255958e-05
15,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,6.665795738738197e-06
16,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.548621246841391e-12
17,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
18,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
19,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
20,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
21,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
22,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
23,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
24,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
25,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
26,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
27,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
28,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
29,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
30,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
31,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
32,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
33,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
34,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
35,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
36,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
37,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
38,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
39,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
40,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
41,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
42,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
43,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
44,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
45,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
46,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
47,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
48,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
49,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
50,1.0004930765400788,-0.9999990270225274,0.0004930765400787962,9.729774725908413e-07,7.998230368823246e-15
