iteration,x,value,error,value_error
1,-0.9621834863513525,-0.9944939239041996,0.037816513648647465,-0.0055060760958004495
2,0.96290767252207,-0.9946988765750622,0.03709232747793001,-0.005301123424937826
3,0.96290767252207,-0.9946988765750622,0.03709232747793001,-0.005301123424937826
4,0.96290767252207,-0.9946988765750622,0.03709232747793001,-0.005301123424937826
5,0.96290767252207,-0.9946988765750622,0.03709232747793001,-0.005301123424937826
6,0.9676126299261942,-0.9959390226173505,0.032387370073805766,-0.004060977382649544
7,-0.9813591301144302,-0.9986358606051178,0.01864086988556979,-0.0013641393948822245
8,-0.9813591301144302,-0.9986358606051178,0.01864086988556979,-0.0013641393948822245
9,-0.9813591301144302,-0.9986358606051178,0.01864086988556979,-0.0013641393948822245
10,-0.9813591301144302,-0.9986358606051178,0.01864086988556979,-0.0013641393948822245
11,-1.010439816075034,-0.9995594777503294,0.01043981607503408,-0.00044052224967061626
12,-1.005252653793134,-0.9998890580606035,0.00525265379313411,-0.00011094193939653607
13,-1.005252653793134,-0.9998890580606035,0.00525265379313411,-0.00011094193939653607
14,-1.005252653793134,-0.9998890580606035,0.00525265379313411,-0.00011094193939653607
15,-1.005252653793134,-0.9998890580606035,0.00525265379313411,-0.00011094193939653607
16,-1.005252653793134,-0.9998890580606035,0.00525265379313411,-0.00011094193939653607
17,1.0041664644790496,-0.9999302726838981,0.004166464479049559,-6.972731610188632e-05
18,0.9997560222257649,-0.9999997619574705,0.0002439777742351268,-2.3804252946568738e-07
19,0.9997560222257649,-0.9999997619574705,0.0002439777742351268,-2.3804252946568738e-07
20,0.9997560222257649,-0.9999997619574705,0.0002439777742351268,-2.3804252946568738e-07
21,0.9997560222257649,-0.9999997619574705,0.0002439777742351268,-2.3804252946568738e-07
22,1.000235760905102,-0.9999997776147622,0.00023576090510202263,-2.2238523778028707e-07
23,1.000235760905102,-0.9999997776147622,0.00023576090510202263,-2.2238523778028707e-07
24,1.0000075604446148,-0.9999999997713569,7.560444614806983e-06,-2.2864310444958846e-10
25,1.0000075604446148,-0.9999999997713569,7.560444614806983e-06,-2.2864310444958846e-10
26,1.0000075604446148,-0.9999999997713569,7.560444614806983e-06,-2.2864310444958846e-10
27,0.999993555748727,-0.9999999998338875,6.444251273052259e-06,-1.6611245712283562e-10
28,0.9999980494171754,-0.9999999999847808,1.9505828245947043e-06,-1.521915926616657e-11
29,0.9999980494171754,-0.9999999999847808,1.9505828245947043e-06,-1.521915926616657e-11
30,0.9999980494171754,-0.9999999999847808,1.9505828245947043e-06,-1.521915926616657e-11
31,1.0000003209346997,-0.9999999999995881,3.209346997046225e-07,-4.118927421359331e-13
32,0.9999997904512923,-0.9999999999998245,2.095487077191649e-07,-1.7552626019323725e-13
33,0.9999997904512923,-0.9999999999998245,2.095487077191649e-07,-1.7552626019323725e-13
34,0.9999998064820659,-0.9999999999998501,1.9351793412170082e-07,-1.4988010832439613e-13
35,0.9999999849354002,-0.9999999999999991,1.5064599789837985e-08,-8.881784197001252e-16
36,1.0000000062404255,-0.9999999999999998,6.2404255096737415e-09,-2.220446049250313e-16
37,1.0000000062404255,-0.9999999999999998,6.2404255096737415e-09,-2.220446049250313e-16
38,1.0000000062404255,-0.9999999999999998,6.2404255096737415e-09,-2.220446049250313e-16
39,1.0000000062404255,-0.9999999999999998,6.2404255096737415e-09,-2.220446049250313e-16
40,1.0000000062404255,-0.9999999999999998,6.2404255096737415e-09,-2.220446049250313e-16
41,1.000000000708194,-1.0,7.081939479292032e-10,0.0
42,1.000000000708194,-1.0,7.081939479292032e-10,0.0
43,1.000000000708194,-1.0,7.081939479292032e-10,0.0
44,1.000000000708194,-1.0,7.081939479292032e-10,0.0
45,1.000000000708194,-1.0,7.081939479292032e-10,0.0
46,1.000000000708194,-1.0,7.081939479292032e-10,0.0
47,1.000000000708194,-1.0,7.081939479292032e-10,0.0
48,1.000000000708194,-1.0,7.081939479292032e-10,0.0
49,1.000000000708194,-1.0,7.081939479292032e-10,0.0
50,1.000000000708194,-1.0,7.081939479292032e-10,0.0
51,1.000000000708194,-1.0,7.081939479292032e-10,0.0
52,1.000000000708194,-1.0,7.081939479292032e-10,0.0
53,1.000000000708194,-1.0,7.081939479292032e-10,0.0
54,1.000000000708194,-1.0,7.081939479292032e-10,0.0
55,1.000000000708194,-1.0,7.081939479292032e-10,0.0
56,1.000000000708194,-1.0,7.081939479292032e-10,0.0
57,1.000000000708194,-1.0,7.081939479292032e-10,0.0
58,1.000000000708194,-1.0,7.081939479292032e-10,0.0
59,1.000000000708194,-1.0,7.081939479292032e-10,0.0
60,1.000000000708194,-1.0,7.081939479292032e-10,0.0
61,1.000000000708194,-1.0,7.081939479292032e-10,0.0
62,1.000000000708194,-1.0,7.081939479292032e-10,0.0
63,1.000000000708194,-1.0,7.081939479292032e-10,0.0
64,1.000000000708194,-1.0,7.081939479292032e-10,0.0
65,1.000000000708194,-1.0,7.081939479292032e-10,0.0
66,1.000000000708194,-1.0,7.081939479292032e-10,0.0
67,1.000000000708194,-1.0,7.081939479292032e-10,0.0
68,1.000000000708194,-1.0,7.081939479292032e-10,0.0
69,1.000000000708194,-1.0,7.081939479292032e-10,0.0
70,1.000000000708194,-1.0,7.081939479292032e-10,0.0
71,1.000000000708194,-1.0,7.081939479292032e-10,0.0
72,1.000000000708194,-1.0,7.081939479292032e-10,0.0
73,1.000000000708194,-1.0,7.081939479292032e-10,0.0
74,1.000000000708194,-1.0,7.081939479292032e-10,0.0
75,1.000000000708194,-1.0,7.081939479292032e-10,0.0
76,1.000000000708194,-1.0,7.081939479292032e-10,0.0
77,1.000000000708194,-1.0,7.081939479292032e-10,0.0
78,1.000000000708194,-1.0,7.081939479292032e-10,0.0
79,1.000000000708194,-1.0,7.081939479292032e-10,0.0
80,1.000000000708194,-1.0,7.081939479292032e-10,0.0
81,1.000000000708194,-1.0,7.081939479292032e-10,0.0
82,1.000000000708194,-1.0,7.081939479292032e-10,0.0
83,1.000000000708194,-1.0,7.081939479292032e-10,0.0
84,1.000000000708194,-1.0,7.081939479292032e-10,0.0
85,1.000000000708194,-1.0,7.081939479292032e-10,0.0
86,1.000000000708194,-1.0,7.081939479292032e-10,0.0
87,1.000000000708194,-1.0,7.081939479292032e-10,0.0
88,1.000000000708194,-1.0,7.081939479292032e-10,0.0
89,1.000000000708194,-1.0,7.081939479292032e-10,0.0
90,1.000000000708194,-1.0,7.081939479292032e-10,0.0
91,1.000000000708194,-1.0,7.081939479292032e-10,0.0
92,1.000000000708194,-1.0,7.081939479292032e-10,0.0
93,1.000000000708194,-1.0,7.081939479292032e-10,0.0
94,1.000000000708194,-1.0,7.081939479292032e-10,0.0
95,1.000000000708194,-1.0,7.081939479292032e-10,0.0
96,1.000000000708194,-1.0,7.081939479292032e-10,0.0
97,1.000000000708194,-1.0,7.081939479292032e-10,0.0
98,1.000000000708194,-1.0,7.081939479292032e-10,0.0
99,1.000000000708194,-1.0,7.081939479292032e-10,0.0
100,1.000000000708194,-1.0,7.081939479292032e-10,0.0
