iteration,x,value,error,value_error
39,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
40,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
41,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
42,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
43,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
44,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
45,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
46,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
47,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
48,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
49,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
50,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
51,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
52,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
53,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
54,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
55,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
56,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
57,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
58,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
59,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
60,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
61,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
62,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
63,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
64,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
65,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
66,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
67,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
68,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
69,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
70,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
71,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
72,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
73,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
74,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
75,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
76,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
77,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
78,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
79,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
80,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
81,-1.00000000285422,-1.0,2.8542199714820526e-09,0.0
