iteration,x,value,error,value_error,diversity
1,1.8727397387185398,-0.6597180919118086,-94.06261407843505,inf,inf,0.9245792643729616
2,1.8727397387185398,-0.6597180919118086,-94.06261407843505,inf,inf,1.0115515854309576
3,1.8727397387185398,-0.6597180919118086,-94.06261407843505,inf,inf,1.018958076600675
4,1.473593185847796,-0.5087650928080922,-134.84856280399137,inf,inf,0.9896999062598841
5,1.473593185847796,-0.5087650928080922,-134.84856280399137,inf,inf,0.7973867185981004
6,1.473593185847796,-0.5087650928080922,-134.84856280399137,inf,inf,0.5365216603840253
7,1.473593185847796,-0.5087650928080922,-134.84856280399137,inf,inf,0.5318728530472933
8,1.473593185847796,-0.5087650928080922,-134.84856280399137,inf,inf,0.38875280539776813
9,1.473593185847796,-0.5087650928080922,-134.84856280399137,inf,inf,0.3878973192048298
10,1.4735922358890097,-0.5087651633649735,-134.8486521243784,inf,inf,0.05497164986919731
11,1.4688838423642894,-0.507393212050995,-134.85356939271432,inf,inf,0.057274520506377435
12,1.4690493013591848,-0.5073775704193544,-134.87114830904207,inf,inf,0.05518102963401031
13,1.4690493013591848,-0.5073775704193544,-134.87114830904207,inf,inf,0.048388392809676765
14,1.4690493013591848,-0.5073775704193544,-134.87114830904207,inf,inf,0.04689467423061148
15,1.4690500061976755,-0.5073775704193544,-134.87120334315205,inf,inf,0.03056824831585174
16,1.46905907735988,-0.5073773622777349,-134.87194288181297,inf,inf,0.0005088843751812702
17,1.46905907735988,-0.5073773622777349,-134.87194288181297,inf,inf,0.0005481319384794006
18,1.46905907735988,-0.5073773622777349,-134.87194288181297,inf,inf,0.0007354952094526256
19,1.46905907735988,-0.5073773622777349,-134.87194288181297,inf,inf,0.0007852989171573944
20,1.46905907735988,-0.5073773622777349,-134.87194288181297,inf,inf,0.0007921306259553602
21,1.46905907735988,-0.5073773622777349,-134.87194288181297,inf,inf,0.0007702947513318075
22,1.46905907735988,-0.5073773622777349,-134.87194288181297,inf,inf,0.0007535334558843236
23,1.46905907735988,-0.5073773622777349,-134.87194288181297,inf,inf,0.0007325195005570247
24,1.4690590773598844,-0.5073773622775635,-134.87194288185094,inf,inf,0.0006394065805898888
25,1.4690590773598844,-0.5073773622775635,-134.87194288185094,inf,inf,0.0005433784167693502
26,1.4690590774804422,-0.5073768617122507,-134.8720524398974,inf,inf,0.00047947757864335975
27,1.4690590774804422,-0.5073768617122507,-134.8720524398974,inf,inf,0.0004794195370862725
28,1.4690590780486845,-0.5073768617122534,-134.87205248207604,inf,inf,0.00028677063673590927
29,1.4690590780486845,-0.5073767924687189,-134.8720675813074,inf,inf,1.1177803937570626e-06
30,1.469059078048729,-0.5073767924687171,-134.87206758131106,inf,inf,7.671953380726642e-07
31,1.469059078048729,-0.5073767924687171,-134.87206758131106,inf,inf,4.085602038299274e-07
32,1.4690590780510053,-0.5073767924687171,-134.87206758147988,inf,inf,4.085596276073052e-07
33,1.4690590780510053,-0.5073767924687171,-134.87206758147988,inf,inf,4.0729323566097276e-07
34,1.4690590780510053,-0.5073767924687171,-134.87206758147988,inf,inf,5.746013097139437e-09
35,1.4690590780510053,-0.5073767924686416,-134.87206758149637,inf,inf,3.437915369188566e-09
36,1.4690590780510053,-0.5073767924686416,-134.87206758149637,inf,inf,2.9323477230781497e-13
37,1.4690590780510053,-0.5073767924686416,-134.87206758149637,inf,inf,2.2085877620102506e-13
38,1.4690590780510053,-0.5073767924686416,-134.87206758149637,inf,inf,1.2206369051985052e-13
